"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".remove_reason",".matched_county",".county_match"
"Eldere Dispensary",0.5957843,38.8358608,"Level 2","Garissa","Lagdera","Modogashe","open","Dispensary","Government/Public Entity",3851,"CSV county does not match spatial county","Isiolo",FALSE
"Kaptisi Dispensary",0.1842861,34.9220627,"Level 2","Kakamega","Hamisi","Shiru","open","Dispensary","Government/Public Entity",3964,"CSV county does not match spatial county","Nandi",FALSE
"Musibiriri Dispensary",0.3438855,34.3928628,"Level 2","Busia","Butula","Marachi East","open","Dispensary","Government/Public Entity",3987,"CSV county does not match spatial county","Kakamega",FALSE
"Ikuywa Dispensary",0.2090095,34.9416378,"Level 2","Kakamega","Shinyalu","Isukha East","open","Dispensary","Government/Public Entity",4081,"CSV county does not match spatial county","Nandi",FALSE
"Chepilat Medical Centre",-0.6945938,35.0666965,"Level 2","Kisii","Borabu","Mekenene","open","Health Center","Private",4158,"CSV county does not match spatial county","Bomet",FALSE
"Tinganga Catholic Dispensary",-1.292066,36.8219452,"Level 2","Kiambu","Kiambu Town","Ting'ang'a","open","Dispensary","Faith Based",4298,"CSV county does not match spatial county","Nairobi",FALSE
"Lamaiwe Dispensary",0.341205,36.2457733,"Level 2","Baringo","Marigat","Mochongoi","open","Dispensary","Government/Public Entity",4482,"CSV county does not match spatial county","Laikipia",FALSE
"Musau Medical Clinic",-2.0785753,37.4625422,"Level 2","Makueni","Kibwezi West","Emali/Mulala","open","Medical Clinic","Private",4564,"CSV county does not match spatial county","Kajiado",FALSE
"Namunyak Medical Clinic",0.7416843,36.8790754,"Level 2","Nakuru","Gilgil","Gilgil","open","Medical Clinic","Private",4589,"CSV county does not match spatial county","Samburu",FALSE
"Osieko Dispensary",-0.0286795,34.0151307,"Level 2","Busia","Bunyala","Bunyala South","open","Dispensary","Government/Public Entity",4684,"CSV county does not match spatial county","Siaya",FALSE
"Mother Ippolata mukuru Clinic",-1.3210782,36.8886792,"Level 2","Machakos","Athi River","Muthwani","open","Dispensary","Faith Based",4713,"CSV county does not match spatial county","Nairobi",FALSE
"Royal Clinic",-0.694633,35.0683454,"Level 2","Kisii","Borabu","Mekenene","open","Dispensary","Private",4721,"CSV county does not match spatial county","Bomet",FALSE
"St Michael Medical Clinic",-1.0614639,35.7488227,"Level 2","Machakos","Mwala","Masii","open","Medical Clinic","Private",4725,"CSV county does not match spatial county","Narok",FALSE
"Timbwani Medical Clinic",-4.193395,39.5931133,"Level 2","Mombasa","Likoni","Shika Adabu","open","Medical Clinic","Private",4735,"CSV county does not match spatial county","Kwale",FALSE
"The Haven Medical Clinic",-1.3663936,38.0102244,"Level 2","Kiambu","Ruiru","Biashara","open","Medical Clinic","Private",4867,"CSV county does not match spatial county","Kitui",FALSE
"Rheno Medicare Clinic",0.0758583,34.8534817,"Level 2","Nandi","Aldai","Kobujoi","open","Medical Clinic","Private",5121,"CSV county does not match spatial county","Vihiga",FALSE
"Chesinende Dispensary",-0.2616237,35.4758301,"Level 2","Bungoma","Mt Elgon","Kaptama","open","Dispensary","Government/Public Entity",5144,"CSV county does not match spatial county","Kericho",FALSE
"Ngenia Dispensary",0.0662042,37.201926,"Level 2","Laikipia","Laikipia North","Mugogodo East","open","Dispensary","Government/Public Entity",5156,"CSV county does not match spatial county","Meru",FALSE
"Radienya Dispensary",-0.4102602,34.9741253,"Level 2","Kisumu","Nyakach","South East Nyakach","open","Dispensary","Government/Public Entity",5202,"CSV county does not match spatial county","Homa Bay",FALSE
"Dr Ndanya Medical Clinic",0.006871,37.0735777,"Level 2","Laikipia","Laikipia East","Nanyuki","open","Medical Clinic","Private",5363,"CSV county does not match spatial county","Nyeri",FALSE
"Eshiabwali Health Centre",0.1261581,34.6607555,"Level 3","Kakamega","Khwisero","Kisa East","open","Health Center","Government/Public Entity",5608,"CSV county does not match spatial county","Vihiga",FALSE
"Rotu Dispensary",1.4341132,35.9373978,"Level 2","Baringo","East Pokot","Kolowa","open","Dispensary","Faith Based",5629,"CSV county does not match spatial county","Turkana",FALSE
"Aga Khan Medical Clinic (laikipia east)",0.0101845,37.0752149,"Level 2","Laikipia","Laikipia East","Nanyuki","open","Medical Clinic","Private",5701,"CSV county does not match spatial county","Nyeri",FALSE
"Kambini Dispensary",-0.6916514,34.9616171,"Level 2","Bungoma","Kimilili","Kimilili","open","Dispensary","Government/Public Entity",5884,"CSV county does not match spatial county","Nyamira",FALSE
"Akwichatis Health Centre",1.0584566,36.305978,"Level 3","Baringo","Tiaty East","Silale","open","Health Center","Government/Public Entity",5916,"CSV county does not match spatial county","Turkana",FALSE
"Burmayow Dispensary",2.9796443,40.2653804,"Level 2","Wajir","Tarbaj","Elben","open","Dispensary","Government/Public Entity",6063,"CSV county does not match spatial county","Mandera",FALSE
