"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Makengi Clinic",-0.4507363,37.5204176,"Level 2","Embu","Manyatta","Gaturi North","open","Medical Clinic","Private",1300,"Embu",TRUE
"Makengi Dispensary (Embu)",-0.4504396,37.5200346,"Level 2","Embu","Manyatta","Gaturi North","open","Dispensary","Government/Public Entity",1301,"Embu",TRUE
"Makima Dispensary",-0.7966658,37.5868672,"Level 2","Embu","Mwea","Makima","open","Dispensary","Government/Public Entity",1302,"Embu",TRUE
"Makueni Catholic Dispensary",-1.804674,37.6248825,"Level 2","Makueni","Makueni","Wote","open","Dispensary","Faith Based",1303,"Makueni",TRUE
"Malalani Health Centre",-1.205286,38.5844578,"Level 3","Kitui","Kitui East","Endau/Malalani","open","Health Center","Government/Public Entity",1304,"Kitui",TRUE
"Maliku Health Centre",-1.5969815,37.9139357,"Level 3","Kitui","Kitui Rural","Kisasi","open","Health Center","Government/Public Entity",1305,"Kitui",TRUE
"Malka Daka Dispensary",0.8361155,38.491506,"Level 2","Isiolo","Garbatulla","Garba Tulla","open","Dispensary","Government/Public Entity",1306,"Isiolo",TRUE
"Malka Galla Dispensary",1.2700272,38.799681,"Level 2","Isiolo","Merti","Cherab","open","Dispensary","Government/Public Entity",1307,"Isiolo",TRUE
"Mama Vero Clinic",-1.233122,37.9163933,"Level 2","Kitui","Kitui West","Kauwi","open","Nursing Home","Private",1308,"Kitui",TRUE
"Mananja Health Centre",-0.8328784,37.3061918,"Level 3","Machakos","Masinga","Ndithini","open","Health Center","Government/Public Entity",1309,"Machakos",TRUE
"Emali Health Services",-2.0788769,37.4664495,"Level 2","Makueni","Kibwezi West","Emali/Mulala","open","Medical Clinic","Private",1310,"Makueni",TRUE
"Mangala Dispensary",-1.7455557,37.3166425,"Level 2","Makueni","Kaiti","Kee","open","Dispensary","Government/Public Entity",1311,"Makueni",TRUE
"Manyatta Jillo Health Centre",2.3583418,38.0259162,"Level 3","Marsabit","Saku","Sagante/Jaldesa","open","Health Center","Government/Public Entity",1312,"Marsabit",TRUE
"Marie Stopes Clinic (Imenti North)",0.0560939,37.6406762,"Level 2","Meru","Imenti North","Municipality","open","Medical Clinic","Non-Governmental Organization",1313,"Meru",TRUE
"Marsabit Medical Clinic",2.3319658,37.99085,"Level 2","Marsabit","Saku","Marsabit Central","open","Medical Clinic","Private",1314,"Marsabit",TRUE
"Masii Health Centre",-1.4606237,37.4402907,"Level 3","Machakos","Mwala","Masii","open","Health Center","Government/Public Entity",1315,"Machakos",TRUE
"Masongaleni Health Centre",-2.3706117,38.1287844,"Level 3","Makueni","Kibwezi East","Masongaleni","open","Health Center","Government/Public Entity",1316,"Makueni",TRUE
"Masumba Health Centre",-2.0287517,37.6196899,"Level 2","Makueni","Kibwezi West","Nguu/Masumba","open","Health Center","Government/Public Entity",1317,"Makueni",TRUE
"Masyungwa Health centre",-0.4000613,38.366176,"Level 3","Kitui","Mwingi North","Tseikuru","open","Health Center","Government/Public Entity",1318,"Kitui",TRUE
"Mataka Dispensary",-0.4293067,38.1826378,"Level 2","Kitui","Mwingi North","Kyuso","open","Dispensary","Government/Public Entity",1319,"Kitui",TRUE
"Materi Girls Dispensary",-0.19097,37.8120133,"Level 2","Tharaka Nithi","Tharaka South","Chiakagira","open","Dispensary","Private",1320,"Tharaka Nithi",TRUE
"Mathuki Health Centre",-1.048259,38.2363143,"Level 3","Kitui","Mwingi Central","Mui","open","Health Center","Government/Public Entity",1321,"Kitui",TRUE
"Matiliku Catholic Dispensary",-1.9470784,37.5365222,"Level 2","Makueni","Makueni","Nzaui/Kilili/Kalamba","open","Dispensary","Faith Based",1322,"Makueni",TRUE
"Matinyani Health Centre",-1.3088899,37.9925131,"Level 3","Kitui","Kitui West","Matinyani","open","Health Center","Government/Public Entity",1323,"Kitui",TRUE
"Matuu Mission Health Centre",-1.1488412,37.5489916,"Level 3","Machakos","Yatta","Matuu","open","Medical Center","Faith Based",1324,"Machakos",TRUE
"Maua Cottage",0.2367439,37.9394841,"Level 2","Meru","Igembe South","Maua","open","Hospital","Private",1325,"Meru",TRUE
"Mavindini Health Centre",-1.820524,37.7862086,"Level 3","Makueni","Makueni","Mavindini","open","Health Center","Government/Public Entity",1326,"Makueni",TRUE
"Mavoko Medical Clinic",-1.5195515,37.2690663,"Level 2","Machakos","Athi River","Athi River","open","Medical Clinic","Private",1327,"Machakos",TRUE
"Mavui Dispensary",-0.9522698,37.8738015,"Level 2","Kitui","Mwingi West","Kyome/Thaana","open","Dispensary","Government/Public Entity",1328,"Kitui",TRUE
"Maweli Dispensary",-1.3736887,37.5001025,"Level 2","Machakos","Mwala","Makutano/Mwala","open","Dispensary","Government/Public Entity",1329,"Machakos",TRUE
"Mbenuu Health Centre",-1.9645901,37.4775613,"Level 3","Makueni","Makueni","Mbitini","open","Dispensary","Government/Public Entity",1330,"Makueni",TRUE
"Mbitini Catholic Dispensary",-2.0172374,37.4818132,"Level 2","Makueni","Kibwezi West","Emali/Mulala","open","Dispensary","Faith Based",1331,"Makueni",TRUE
