scenario,buffer_distance_m,admin_level,subcounty,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
1km,1000,subcounty,Hamisi,24408.798828125,23376.484375,1032.314453125,95.77072816899323,0.3783152911748493,0.49747605456630606,43.771728515625,988.5418701171875,4.240154575296332,95.75976265029468,3024.52392578125,982.036376953125,≥70% coverage
1km,1000,subcounty,Homa Bay,19589.1875,17325.716796875,2263.470703125,88.44530584474217,0.30361548002116484,0.3687093874500773,127.98048400878906,2135.489990234375,5.654170112831425,94.34581977518278,1164.4581298828125,3704.32861328125,≥70% coverage
1km,1000,subcounty,Igembe Central,29966.982421875,23677.544921875,6289.4375,79.0121093560328,0.4644623342751396,0.5038829381097153,1690.00830078125,4599.42822265625,26.87057945613181,73.12940501684372,64965.765625,7087.68017578125,≥70% coverage
1km,1000,subcounty,Igembe North,23499.7421875,19934.224609375,3565.517578125,84.82741831941641,0.3642256987244331,0.4242211639024715,1066.1011962890625,2499.415771484375,29.900320863084723,70.09966201873961,108350.828125,3050.47900390625,≥70% coverage
1km,1000,subcounty,Igembe South,23460.6640625,20144.013671875,3316.650390625,85.8629304703851,0.3636200215527688,0.4286856947288124,858.97247314453125,2457.677978515625,25.89879462642621,74.10120721383879,79076.8046875,3696.57763671875,≥70% coverage
1km,1000,subcounty,Ijara,9349.5595703125,4468.18603515625,4881.37353515625,47.79033709078668,0.14491009476155686,0.09508767546821495,3429.41162109375,1451.9619140625,70.25505416446227,29.744945835537735,952914.125,2399.68798828125,<50% coverage
1km,1000,subcounty,Ikolomani,17884.5625,16315.1435546875,1569.4189453125,91.22472833589023,0.2771952654190494,0.3472033311368633,0,1569.4189453125,0,100,0.24673505127429962,1969.3861083984375,≥70% coverage
1km,1000,subcounty,Isiolo North,25368.81640625,19101.51953125,6267.296875,75.29527284743189,0.39319473412321954,0.406500328286746,6030.18115234375,237.11447143554688,96.2166189445709,3.7833610911489948,1776013.25,416.7212829589844,≥70% coverage
1km,1000,subcounty,Isiolo South,15897.123046875,9615.5576171875,6281.5654296875,60.48614953054472,0.24639167116208754,0.20462913024548537,5923.03369140625,358.5313415527344,94.29231865377407,5.70767503046722,1169379.375,994.63983154296875,50–69% coverage
1km,1000,subcounty,Jomvu,11302.9521484375,10520.76171875,782.1904296875,93.07976872399988,0.17518599187455366,0.22389282096127766,73.40031433105469,708.78973388671875,9.38394431141014,90.61600691917104,1086.3873291015625,446.56298828125,≥70% coverage
