scenario,buffer_distance_m,admin_level,county,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
1km,1000,county,Kakamega,300667.1875,235233.71875,65433.46875,78.23724321430984,4.660081611829284,5.006019743065411,3671.592529296875,61761.88671875,5.611184305886083,94.38883173796285,43881.42578125,80398.984375,≥70% coverage
1km,1000,county,Kericho,127337.0859375,93590.7890625,33746.296875,73.49845363073294,1.973614805178131,1.9917099483253624,8053.033203125,25693.267578125,23.8634574719541,76.13655410339005,103689.8046875,48488.8984375,≥70% coverage
1km,1000,county,Kiambu,354512.40625,318580.03125,35932.375,89.86428278206414,5.494635976966985,6.7797165077291695,4575.94970703125,31356.427734375,12.734893552210924,87.26511324223628,92204.78125,45462.34375,≥70% coverage
1km,1000,county,Kilifi,117923.3359375,72208.828125,45714.5078125,61.233705399303716,1.827709814220786,1.5366794400828938,23197.7265625,22515.98046875,50.74478031710734,49.253467982418734,1257068.75,69889.7890625,50–69% coverage
1km,1000,county,Kirinyaga,86376.6484375,65905.1015625,20471.546875,76.2996744544763,1.3387634161943143,1.4025295410188983,3768.262451171875,16703.279296875,18.407316624293323,81.59265833141883,64020.6640625,29624.208984375,≥70% coverage
1km,1000,county,Kisii,204476.59375,199403.734375,5072.859375,97.5191002148626,3.1692105231265444,4.243520174006607,24.3174991607666,5048.5390625,0.479364740142567,99.52057980120925,78.24028015136719,5259.55517578125,≥70% coverage
1km,1000,county,Kisumu,190502.671875,163548.109375,26954.5625,85.85082181015999,2.9526268083677585,3.480474945610965,8395.091796875,18541.939453125,31.14534616124821,68.78961382929141,70038.5859375,29011.57421875,≥70% coverage
1km,1000,county,Kitui,159637.40625,65829.03125,93808.375,41.23659535466801,2.4742418606145584,1.4009106851496813,89498.5625,4309.80712890625,95.40572736709275,4.594266907305718,3176857.75,10422.025390625,<50% coverage
1km,1000,county,Kwale,70642.5,31757.259765625,38885.240234375,44.95489226120961,1.0948977106577358,0.6758277266420828,28923.244140625,9961.998046875,74.3810349795821,25.61897004321058,828226.4375,35438.6171875,<50% coverage
1km,1000,county,Laikipia,74965.5078125,36148.41015625,38817.09765625,48.22005641136002,1.161900596414352,0.7692760029650882,32912.06640625,5905.0341796875,84.78755083058297,15.212456716832154,1002895.75,14654.416015625,<50% coverage
1km,1000,county,Lamu,11088.0751953125,4683.5771484375,6404.498046875,42.239767190769854,0.17185558476764673,0.09967142379858383,5749.61669921875,654.88104248046875,89.77466551065947,10.2253297243179,685407.625,2614.721923828125,<50% coverage
1km,1000,county,Machakos,205960.140625,128091.40625,77868.734375,62.19232802099375,3.1922042178158736,2.7259191922480808,49614.83984375,28253.431640625,63.71599621077056,36.28340933931482,412161.40625,43416.52734375,50–69% coverage
1km,1000,county,Makueni,140328.171875,70410.0859375,69918.0859375,50.17530335976951,2.174965412134661,1.498400323674079,60974.68359375,8943.392578125,87.20874259666586,12.791243436096817,684908.6875,22143.59765625,50–69% coverage
1km,1000,county,Mandera,70814.15625,45819.6875,24994.46875,64.70413534017078,1.097558234211476,0.9750909073110396,18918.8515625,6075.61376953125,75.69215313888198,24.30783318621745,2998485.25,10711.7958984375,50–69% coverage
1km,1000,county,Marsabit,43779.82421875,19951.251953125,23828.572265625,45.57179547692265,0.6785494470058036,0.4245835235991911,22229.75390625,1582.6517333984375,93.29033086182234,6.641823587901506,8269850.5,6204.865234375,<50% coverage
1km,1000,county,Meru,219074,175083.390625,43990.609375,79.91974886339776,3.3954577069700655,3.7259578040471015,18236.66796875,25753.931640625,41.455820294032925,58.544157506626945,552079.9375,44843.7890625,≥70% coverage
1km,1000,county,Migori,184951.609375,131409.296875,53542.3125,71.05063714723353,2.866590136067542,2.7965273774280877,10985.8818359375,42540.72265625,20.518131031298843,79.4525314091542,55110.38671875,77732.3203125,≥70% coverage
1km,1000,county,Mombasa,98208.8046875,94263.359375,3945.4453125,95.98259511959809,1.5221516143791127,2.0060229485230634,319.4875183105469,3625.957763671875,8.097628860761123,91.90237036575006,5392.97314453125,4190.40283203125,≥70% coverage
1km,1000,county,Muranga,148138.15625,112645.703125,35492.453125,76.04097821691364,2.2960134216538624,2.397218463457357,9033.6640625,26458.7890625,25.452351886426563,74.54764811357344,87791.015625,44643.90625,≥70% coverage
